domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
hamptontutors.com,Home Page - Hampton Tutors,Hampton Tutors,USA,77,15544,2026-05-08T10:41:19.982122823Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apache', 'EmbedPress', 'GZIP Module', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Customer Reviews', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'Gutenberg Blocks by Kadence Blocks', 'Instagram Follow Button', 'Kadence WP', 'Microdata for Google Shopping', 'PHP', 'Popup Maker for Wordpress', 'QUIC', 'Site Kit', 'Theme In WP', 'UTF-8', 'University or College', 'WordPress', 'WordPress Multisite', 'jQuery']"
abhikmusicacademy.com,ABHIK MUSIC ACADEMY - DJ Course in Jaipur | Music Production Classes & Audio Engineering Training,,IND,77,19032,2026-05-08T10:38:19.978646238Z,"['Alternate Protocol', 'GitHub Hosting', 'GoDaddy', 'Google', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'Line2', 'PWA', 'UTF-8', 'Wangsu', 'Website Tonight', 'YouTube']"
edctv.org,Every Day Carry Podcast – EDC TV by Multitool.org,,CAN,82,49,2026-05-08T10:38:19.977385388Z,"['Alternate Protocol', 'Apache', 'EmbedPress', 'Google Adsense', 'Google Funding Choices', 'Google Matched Content', 'Google Reseller', 'Instagram Follow Button', 'Microdata for Google Shopping', 'PHP', 'Sitelinks Search Box', 'UTF-8', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery']"
osazuwaakonedovideo.blog,OsazuwaAkonedo,,USA,67,67722,2026-05-08T10:35:20.004083154Z,"['AWS WAF Challenge', 'Adult Content', 'Alternate Protocol', 'Amazon Associates Affiliate Shop', 'Amazon WAF Blocked', 'AppNexus Direct', 'Automattic', 'BatCache', 'BidSwitch Direct', 'Channel.me', 'Citrix', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Criteo', 'Criteo Reseller', 'DAV', 'DailyMotion Video', 'Dailymotion Reseller', 'DoubleClick Bid Manager', 'EmbedPress', 'Ezoic Publisher', 'Fastly', 'Fireblade', 'GDPR Consent Management Platform', 'Global Privacy Control', 'Google', 'Google Adsense', 'Google Analytics', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Play', 'Google Reseller', 'Google Tag Manager', 'Gutenberg', 'IponWeb BidSwitch', 'Jetpack', 'Jetpack Site Accelerator', 'Kitco', 'LikeBtn', 'Media.net', 'NFOrce Internet', 'Nginx', 'Ntent', 'Perl', 'Pico CSS', 'PubMatic Direct', 'Pubmatic', 'QUIC', 'ScriptsTown', 'Shareaholic', 'Sign In With Google', 'Taboola Direct', 'UTF-8', 'Visual Studio', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'YouTube', 'reCAPTCHA']"
makeyouronlineled.com,Online LED Scroller | Web LED Banner - Free Digital Signboard,,,67,4840,2026-05-08T10:35:19.978934401Z,"['Content Delivery Network', 'Fastly', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google Reseller', 'Google Tag Manager', 'Microdata for Google Shopping', 'Ntent', 'RawGit', 'Tailwind CSS', 'UTF-8']"
rankrisepro.net,Boost Your Local Business Visibility with Rank Rise Pro | Rank Rise Pro,,GBR,77,17554,2026-05-08T10:32:20.005157278Z,"['Alternate Protocol', 'Content Delivery Network', 'Fireblade', 'Google', 'Google Adsense', 'Google Cloud DNS', 'Google Font API', 'Google Funding Choices', 'Google Maps', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Instagram Follow Button', 'OpenResty', 'Perl', 'Thank You', 'Unsplash', 'YouTube', 'Zyro']"
welcometoangieskitchen.com,Angie's Kitchen,,,72,106333,2026-05-08T10:30:20.275122185Z,"['Adobe Creative Cloud WebFonts', 'Amazon Widgets', 'Aruba', 'Contento', 'Express', 'GZIP Module', 'Google Adsense', 'Google Funding Choices', 'Google Matched Content', 'Google Reseller', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'Vector Internet Services', 'WordPress SEO Structured Data Schema Plugin', 'YouTube', 'eLand']"
olydoo.fr,Olydoo,,FRA,72,2980,2026-05-08T10:30:20.261383476Z,"['GZIP Module', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google Reseller', 'Google Tag Manager', 'Microsoft Azure', 'Microsoft IIS', 'PHP', 'UTF-8', 'Visual Studio', 'WhatsApp Sharing', 'jQuery']"
garagedooorservice.com,Orlando Garage Door Repair | Anytime Garage Door Service,,USA,77,16013,2026-05-08T10:26:20.012281568Z,"['Alternate Protocol', 'Automattic', 'BatCache', 'Content Delivery Network', 'Crisp', 'Elementor', 'EmbedPress', 'Fastly', 'Google Adsense', 'Google Analytics', 'Google Customer Reviews', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Jetpack', 'Jetpack Site Accelerator', 'Kadence WP', 'Kitco', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nginx', 'PHP', 'Perl', 'Pico CSS', 'QUIC', 'Site Kit', 'Table Addons for Elementor', 'Theme In WP', 'TrustIndex', 'UTF-8', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'Yandex Hosting', 'YouTube', 'eLand', 'jQuery', 'reCAPTCHA']"
kanyamazanefm.co.za,Kanyamazane Community Radio - Your Voice Is Our Voice,,,67,48466,2026-05-08T10:23:20.015075939Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Apache', 'Baidu Cloud', 'Cloudflare', 'Cloudflare CDN', 'DuracellTomi Google Tag Manager for WordPress', 'EmbedPress', 'Express', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Reseller', 'Fireblade', 'Font Awesome', 'Funding Choices', 'GDPR Consent Management Platform', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Funding Choices', 'Google Maps', 'Google Matched Content', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Jetpack', 'Media.net', 'Microdata for Google Shopping', 'Onyx Internet', 'PHP', 'Perl', 'QUIC', 'Site Kit', 'Sitelinks Search Box', 'Slider Revolution', 'Theme In WP', 'UTF-8', 'WPBakery', 'WhatsApp Sharing', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'Yandex Hosting', 'YouTube', 'eLand', 'jQuery']"
easymediterraneanrecipes.blog,Home - Easy Mediterranean Recipes,,,65,5080,2026-05-08T10:23:20.012020085Z,"['Alternate Protocol', 'Astra Theme', 'Content Delivery Network', 'EasyMe', 'Elementor', 'EmbedPress', 'Google', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'Header, Footer and Blocks for Elementor', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'QUIC', 'Theme In WP', 'UTF-8', 'WP Recipe Maker', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'jQuery']"
elherraderodejalisco.shop,Heffer's Kountry Cafe - Homestyle Comfort & Southern Charm,,USA,77,20000,2026-05-08T10:23:19.992387297Z,"['AWS WAF Challenge', 'Apture Linking Platform', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'DAV', 'Google Adsense', 'Google Analytics', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'Microdata for Google Shopping', 'Next.js', 'Pleroma', 'QUIC', 'Tailwind CSS', 'UTF-8', 'Way', 'shadcn ui']"
atmiyainfo.co.in,Atmiya Infotech,,,65,468,2026-05-08T10:22:52.361371538Z,"['Bulma', 'Content Delivery Network', 'Engintron', 'GZIP Module', 'Google Adsense', 'Google Funding Choices', 'Google Matched Content', 'Google Reseller', 'IcoMoon', 'Nginx', 'Tailwind CSS', 'Twitter Ads', 'YouTube', 'jQuery']"
blockblast2048.org,Block Blast 2048: Free Online Puzzle Game,,GBR,82,32279,2026-05-08T10:22:52.357208436Z,"['AWS WAF Challenge', 'Adult Content', 'Alternate Protocol', 'Amazon WAF Blocked', 'Cloudflare', 'Cloudflare CDN', 'Cornerstone', 'Express', 'Fireblade', 'Google Adsense', 'Google Analytics', 'Google Related Website Sites', 'Google Tag Manager', 'Gravity', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'Next.js', 'Perl', 'Pleroma', 'QUIC', 'Share Link', 'Sitelinks Search Box', 'Tailwind CSS', 'Twitter Ads', 'YouTube', 'eLand', 'shadcn ui']"
classicfreaks.rad.io,Free internet radio and music streaming online,radio.de GmbH,GBR,77,3905,2026-05-08T10:22:52.353229232Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'GDPR Consent Management Platform', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Funding Choices', 'Google Matched Content', 'Google Reseller', 'Google Tag Manager', 'IcoMoon', 'Line2', 'Microdata for Google Shopping', 'Next.js', 'Northwestern Mutual', 'PWA', 'Show.co', 'Sitelinks Search Box', 'Subversion', 'Tailwind CSS', 'UTF-8', 'University or College', 'WordPress SEO Structured Data Schema Plugin', 'YouTube', 'Zendesk Embeddables', 'eLand', 'shadcn ui', 'uPress']"
heebnewsletters.com,"From the Vault, by Heeb",,,50,891,2026-05-08T10:20:19.989393224Z,"['AJAX Libraries API', 'Adobe Creative Cloud WebFonts', 'Amazon', 'Amazon CloudFront', 'Apture Linking Platform', 'CloudFront', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Google', 'Google Adsense', 'Google Cloud DNS', 'Google Conversion Tracking', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'OneTrust Domain Verification', 'Tailwind CSS', 'UTF-8', 'Vercel', 'WF Cookie Consent', 'Webflow', 'YouTube']"
everglowpot.com,Ever Glow Pot - Magnetic Levitating Floating Plant Pot | Buy Online - Ever Glow Pot,,,67,6073,2026-05-08T10:17:19.980793457Z,"['About Cookies', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Google', 'Google Adsense', 'Google Analytics', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Cloud Storage', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'Gravity', 'NFOrce Internet', 'Network Advertising Initiative', 'Shopify', 'Unsplash', 'WebsiteBuilder']"
ckrapanui.com,Easter Island | Cabañas Kaituoe Rapa Nui | Chile,Cabañas Kaituoe Rapa Nui,CHL,87,133141,2026-05-08T10:16:51.010949542Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'DAV', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Adsense', 'Google My Business', 'Google Related Website Sites', 'Instagram Follow Button', 'K2F', 'KVH', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Subversion', 'Thank You', 'UTF-8', 'Vector Internet Services', 'WP Booking Calendar', 'Wix', 'Wix Media', 'eLand', 'mlcom']"
psl-lock-key.com,Locksmith Port St. Lucie & Car Keys | PSL Lock and Key,PSL Lock and Key,USA,82,36608,2026-05-08T10:16:51.002774766Z,"['Alternate Protocol', 'BLR', 'Contento', 'DAV', 'Facebook Like', 'GZIP Module', 'Google Adsense', 'Google Analytics', 'Google Conversion Tracking', 'Google Customer Reviews', 'Google Funding Choices', 'Google Maps', 'Google Matched Content', 'Google My Business', 'Google Related Website Sites', 'Google Reseller', 'Google Tag Manager', 'Instagram API', 'Instagram Follow Button', 'Investor Relations', 'Microdata for Google Shopping', 'Neighborhoods', 'Nginx', 'Plausible Analytics', 'QUIC', 'Tumblr', 'UTF-8', 'Vimeo', 'Vimeo CDN', 'Webador', 'WhatsApp Sharing', 'Yelp Badge', 'YouTube']"
ajnaraambrosiahomebuyerassociation.org,"Ajnara Ambrosia Social Welfare Society – UNITY, INTEGRITY, JUSTICE",,IND,65,439,2026-05-08T10:11:20.005212854Z,"['CoBlocks', 'GZIP Module', 'Google Adsense', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Nginx', 'UTF-8', 'WPForms', 'WordPress', 'WordPress Multisite', 'jQuery']"
cco.in.th,ติดต่อเจ้าของรถได้ง่าย แค่สแกน QR CODE : สติกเกอร์เรียกเจ้าของรถ,,,57,156,2026-05-08T10:09:44.450382619Z,"['Bulma', 'GZIP Module', 'Google Adsense', 'Google Analytics', 'Google Funding Choices', 'Google Maps', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'IcoMoon', 'Nginx', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'jQuery', 'reCAPTCHA']"
wroclawexplorer.com,"WE Travel - Discovering Cities, Embracing Journeys",,POL,82,8489,2026-05-08T10:09:44.438480558Z,"['ADFOX', 'Contact Form Plugin', 'DuracellTomi Google Tag Manager for WordPress', 'EmbedPress', 'GZIP Module', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google Reseller', 'Google Tag Manager', 'Microdata for Google Shopping', 'Nginx', 'PHP', 'Schema Plugin', 'Telegram', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WP Super Cache', 'WhatsApp Sharing', 'WordPress', 'WordPress Multisite', 'Yandex Hosting', 'Yandex Metrika', 'jQuery']"
merosplate.com,Home | Meros.plate,,,62,87990,2026-05-08T10:09:44.43645161Z,"['Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Adsense', 'Google Funding Choices', 'Google Matched Content', 'Google Related Website Sites', 'Google Reseller', 'Instagram Follow Button', 'Microdata for Google Shopping', 'NFOrce Internet', 'POWr', 'PWA', 'Perl', 'QUIC', 'SMC', 'Sentry', 'SiteW', 'Sitelinks Search Box', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'WordPress Related Posts', 'YouTube', 'mlcom']"
jmcontent.com,Home - Virtual Assistant Services - Jim@JMcontent.com,Jim@JMcontent.com,,72,33823,2026-05-08T10:08:20.002796785Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Cookie Accept', 'Cookie Notice', 'EmbedPress', 'Express', 'GoDaddy', 'Google', 'Google Adsense', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Funding Choices', 'Google Matched Content', 'Google My Business', 'Google Reseller', 'Google Tag Manager', 'MailerLite', 'Microdata for Google Shopping', 'Ntent', 'One Designs', 'OnePress', 'PHP', 'Pagekit', 'Smush Image Optimization', 'Theme In WP', 'UTF-8', 'WPForms', 'Wangsu', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooCommerce Stripe Payment Gateway', 'WordPress', 'WordPress Multisite', 'jQuery', 'shadcn ui']"
